Row Names,instance_auroc,full_pixel_auroc,full_pro,anomaly_pixel_auroc,anomaly_pro
mvtec_bottle,0.9992063492063492,0.9857429066070309,0.7327663848716173,0.9809174683300912,0.9653906340372103
mvtec_cable,0.9855697151424287,0.9753996216126181,0.5637647539282545,0.9668886587959578,0.9191816640134588
mvtec_capsule,0.9800558436378142,0.9892282430636271,0.7968957620456546,0.9872102725036177,0.9650480788075816
mvtec_carpet,0.9847512038523274,0.9909758379226021,0.7463740993390536,0.98884130246186,0.9811884227266212
mvtec_grid,0.9924812030075187,0.9926930256231531,0.70274288157904,0.9898968414142543,0.9788204421993772
mvtec_hazelnut,1.0,0.9875627540106098,0.5788137834678686,0.9806633008758742,0.9095645168780793
mvtec_leather,0.9996603260869565,0.9942365629758813,0.7368836955714129,0.9922132359807051,0.9931910679440782
mvtec_metal_nut,0.9995112414467253,0.982663184127644,0.7617160515518817,0.9793392484027714,0.9419069454673806
mvtec_pill,0.9914075286415711,0.9702742707354414,0.8080777748492383,0.9684964322652259,0.9570850241122185
mvtec_screw,0.9885222381635581,0.995968872701577,0.7338833653570062,0.9950094059384569,0.9867339366144622
mvtec_tile,0.9898989898989901,0.9648694757439448,0.6527885890499285,0.9507591498011057,0.9092412490338291
mvtec_toothbrush,1.0,0.9878003750725896,0.6808776778891735,0.982903291292915,0.953228749044843
mvtec_transistor,0.9929166666666667,0.899042757045178,0.3084919462022031,0.8671316210520995,0.7712298655055078
mvtec_wood,0.993859649122807,0.960047217009741,0.7081076946744642,0.949679219664411,0.9323417979880447
mvtec_zipper,0.9973739495798319,0.9928470443112746,0.7756299938116147,0.9909754223857888,0.9842027652567549
Mean,0.9930143269635695,0.9779568099041941,0.6858542969458941,0.971394991411009,0.9432236773086299
