Row Names,instance_auroc,full_pixel_auroc,full_pro,anomaly_pixel_auroc,anomaly_pro
mvtec_bottle,1.0,0.9868392020062795,0.736354975955051,0.98231706247116,0.9701184603852256
mvtec_cable,0.9979385307346327,0.9811381206256137,0.571829080558072,0.9730163745992589,0.9323300226490304
mvtec_capsule,0.9868368568009573,0.9915785157180421,0.7993384886551901,0.989859884702457,0.9680062431420651
mvtec_carpet,0.9963884430176565,0.991164783561171,0.746974190541679,0.9886337329320891,0.9819773066671509
mvtec_grid,0.9949874686716792,0.9911113811724612,0.7017339826118525,0.9876564882132084,0.9774151900665091
mvtec_hazelnut,1.0,0.9889161930736907,0.5770473840048893,0.9825680235347068,0.9067887462933975
mvtec_leather,1.0,0.993752699352035,0.7365358048595876,0.9915586853502086,0.9927221717672702
mvtec_metal_nut,1.0,0.9877769980924843,0.7740373036664896,0.985156461339364,0.9571429023832937
mvtec_pill,0.9833606110201855,0.9765183064970485,0.8074055508288348,0.9748610680165524,0.9562888438894711
mvtec_screw,0.9924164787866365,0.9963803380153059,0.7350335613391975,0.9953838369391425,0.9882804186073242
mvtec_tile,0.9877344877344878,0.9676490125878274,0.65743902271057,0.9544511296575982,0.9157186387754367
mvtec_toothbrush,1.0,0.9887100001379863,0.6847690003279195,0.9841185625792281,0.9586766004590873
mvtec_transistor,0.9987499999999999,0.9413748913311316,0.32803131305005423,0.9096871395354723,0.8200782826251357
mvtec_wood,0.9973684210526315,0.9595566538716577,0.7062242865957994,0.9486469799173142,0.929861977351136
mvtec_zipper,0.9968487394957983,0.9924874317073674,0.7758758641618447,0.9904773663462098,0.984514752003685
Mean,0.9955086691543108,0.9823303018500069,0.6892419873244688,0.9758928530755981,0.9493280371376812
