Row Names,instance_auroc,full_pixel_auroc,full_pro,anomaly_pixel_auroc,anomaly_pro
mvtec_bottle,1.0,0.9852445757820454,0.7366245220697727,0.980101153584726,0.9704735766950974
mvtec_cable,0.9985007496251874,0.9846344883118934,0.5761752329612839,0.9758235450048729,0.9394161406977457
mvtec_capsule,0.9828480255285201,0.9907284313410262,0.8041144518591495,0.9887996513190177,0.9737899783982361
mvtec_carpet,0.9887640449438202,0.9892111799634363,0.7404341516311712,0.986082486373884,0.9733797274252476
mvtec_grid,0.9824561403508771,0.9848502869267378,0.6936389671952466,0.9793953069738289,0.9661399900219506
mvtec_hazelnut,1.0,0.9871356045876709,0.5863291500004951,0.9796531654990611,0.9213743785722067
mvtec_leather,1.0,0.991796258832706,0.7348114360851138,0.988916626061911,0.9903980225495012
mvtec_metal_nut,1.0,0.9857456695996758,0.7587554048933517,0.9821607669582119,0.9382459307821015
mvtec_pill,0.9773595199127114,0.9783889726742823,0.7927436030763112,0.9765922090651051,0.9389232745655602
mvtec_screw,0.9887271981963518,0.9943538509706875,0.7277285961076962,0.9928363099638957,0.9784586166153898
mvtec_tile,0.9891774891774893,0.9567930127242942,0.6416262595508402,0.9399370349572235,0.8936937186600986
mvtec_toothbrush,1.0,0.9867052316208619,0.6752085804294671,0.9813278242053969,0.9452920126012538
mvtec_transistor,1.0,0.9669056988869816,0.3411258139124231,0.9372003951003185,0.8528145347810577
mvtec_wood,0.9947368421052631,0.9476428853836388,0.6768375161479698,0.9335911090029444,0.8911693962614937
mvtec_zipper,0.9981617647058824,0.989031989373427,0.7692674335149182,0.9860628812541901,0.9761292643760727
Mean,0.9933821183030737,0.9812778757986241,0.6836947412956806,0.973898697688306,0.9433132375335342
